,team,wins,scored
2014,Wolfsburg,20,72
2014,Borussia M.Gladbach,19,53
2014,Bayer Leverkusen,17,62
2014,Augsburg,15,43
2014,Schalke 04,13,42
2014,Borussia Dortmund,13,47
2014,Hoffenheim,12,49
2014,Werder Bremen,11,50
2014,Eintracht Frankfurt,11,56
2014,FC Cologne,9,34
2014,Mainz 05,9,45
2014,Hannover 96,9,40
2014,VfB Stuttgart,9,42
2014,Hamburger SV,9,25
2014,Hertha Berlin,9,36
2014,Freiburg,7,36
2014,Paderborn,7,31
2015,Bayern Munich,28,80
2015,Borussia Dortmund,24,82
2015,Bayer Leverkusen,18,56
2015,Borussia M.Gladbach,17,67
2015,Schalke 04,15,51
2015,Mainz 05,14,46
2015,Hertha Berlin,14,42
2015,Wolfsburg,12,47
2015,FC Cologne,10,38
2015,Hamburger SV,11,40
2015,Ingolstadt,10,33
2015,Darmstadt,9,38
2015,Werder Bremen,10,50
2015,Augsburg,9,42
2015,Hoffenheim,9,39
2015,Eintracht Frankfurt,9,34
2015,VfB Stuttgart,9,50
2015,Hannover 96,7,31
2016,Bayern Munich,25,89
2016,RasenBallsport Leipzig,20,66
2016,Borussia Dortmund,18,72
2016,Hoffenheim,16,64
2016,Hertha Berlin,15,43
2016,FC Cologne,12,51
2016,Freiburg,14,42
2016,Werder Bremen,13,61
2016,Borussia M.Gladbach,12,45
2016,Schalke 04,11,45
2016,Eintracht Frankfurt,11,36
2016,Bayer Leverkusen,11,53
2016,Augsburg,9,35
2016,Hamburger SV,10,33
2016,Mainz 05,10,44
2016,Wolfsburg,10,34
2016,Ingolstadt,8,36
2016,Darmstadt,7,28
2017,Bayern Munich,27,92
2017,Schalke 04,18,53
2017,Bayer Leverkusen,15,58
2017,Hoffenheim,15,66
2017,Borussia Dortmund,15,64
2017,RasenBallsport Leipzig,15,57
2017,VfB Stuttgart,15,36
2017,Eintracht Frankfurt,14,45
2017,Borussia M.Gladbach,13,47
2017,Hertha Berlin,10,43
2017,Werder Bremen,10,37
2017,Augsburg,10,43
2017,Hannover 96,10,44
2017,Mainz 05,9,38
2017,Freiburg,8,32
2017,Wolfsburg,6,36
2017,Hamburger SV,8,29
2017,FC Cologne,5,35
2018,Bayern Munich,24,88
2018,Borussia Dortmund,23,81
2018,RasenBallsport Leipzig,19,63
2018,Bayer Leverkusen,18,69
2018,Borussia M.Gladbach,16,55
2018,Wolfsburg,16,62
2018,Eintracht Frankfurt,15,60
2018,Werder Bremen,14,58
2018,Hoffenheim,13,70
2018,Fortuna Duesseldorf,13,49
2018,Hertha Berlin,11,49
2018,Mainz 05,12,46
2018,Freiburg,8,46
2018,Schalke 04,8,37
2018,Augsburg,8,51
2018,VfB Stuttgart,7,32
2018,Hannover 96,5,31
2018,Nuernberg,3,26
2019,Bayern Munich,26,100
2019,Borussia Dortmund,21,84
2019,RasenBallsport Leipzig,18,81
2019,Borussia M.Gladbach,20,66
2019,Bayer Leverkusen,19,61
2019,Hoffenheim,15,53
2019,Wolfsburg,13,48
2019,Freiburg,13,48
2019,Eintracht Frankfurt,13,59
2019,Hertha Berlin,11,48
2019,Union Berlin,12,41
2019,Schalke 04,9,38
2019,Mainz 05,11,44
2019,Augsburg,9,45
2019,FC Cologne,10,51
2019,Werder Bremen,8,42
2019,Fortuna Duesseldorf,6,36
2019,Paderborn,4,37
2014,Juventus,26,72
2014,Roma,19,54
2014,Lazio,21,71
2014,Fiorentina,18,61
2014,Napoli,18,70
2014,Genoa,16,62
2014,Sampdoria,13,48
2014,Inter,14,59
2014,Torino,14,48
2014,AC Milan,13,56
2014,Palermo,12,53
2014,Sassuolo,12,49
2014,Verona,11,49
2014,Chievo,10,28
2014,Empoli,8,46
2014,Udinese,10,43
2014,Atalanta,7,38
2014,Cagliari,8,48
2014,Parma,6,33
2014,Cesena,4,36
2015,Juventus,29,75
2015,Napoli,25,80
2015,Roma,23,83
2015,Inter,20,50
2015,Fiorentina,18,60
2015,Sassuolo,16,49
2015,AC Milan,15,49
2015,Lazio,15,52
2015,Chievo,13,43
2015,Genoa,13,45
2015,Empoli,12,40
2015,Atalanta,11,41
2015,Torino,12,52
2015,Bologna,11,33
2015,Sampdoria,10,48
2015,Palermo,10,38
2015,Udinese,10,35
2015,Carpi,9,37
2015,Frosinone,8,35
2015,Verona,5,34
2016,Juventus,29,77
2016,Roma,28,90
2016,Napoli,26,94
2016,Atalanta,21,62
2016,Lazio,21,74
2016,AC Milan,18,57
2016,Inter,19,72
2016,Fiorentina,16,63
2016,Torino,13,71
2016,Sassuolo,14,60
2016,Sampdoria,12,49
2016,Cagliari,14,55
2016,Udinese,12,47
2016,Chievo,12,43
2016,Bologna,11,40
2016,Genoa,9,38
2016,Crotone,9,34
2016,Empoli,8,29
2016,Palermo,6,33
2016,Pescara,2,35
2017,Juventus,30,86
2017,Napoli,28,77
2017,Roma,23,61
2017,Inter,20,66
2017,Lazio,21,89
2017,AC Milan,18,56
2017,Atalanta,16,57
2017,Fiorentina,16,54
2017,Sampdoria,16,56
2017,Torino,13,54
2017,Sassuolo,11,29
2017,Genoa,11,33
2017,Udinese,12,48
2017,Chievo,10,36
2017,Bologna,11,40
2017,Cagliari,11,33
2017,SPAL 2013,8,39
2017,Crotone,9,40
2017,Verona,7,30
2017,Benevento,6,33
2018,Juventus,28,70
2018,Napoli,24,74
2018,Atalanta,20,77
2018,Inter,20,57
2018,AC Milan,19,55
2018,Roma,18,66
2018,Torino,16,52
2018,Lazio,17,56
2018,Sampdoria,15,60
2018,Bologna,11,48
2018,Sassuolo,9,53
2018,Udinese,11,39
2018,SPAL 2013,11,44
2018,Fiorentina,8,47
2018,Cagliari,10,36
2018,Parma Calcio 1913,10,41
2018,Genoa,8,39
2018,Empoli,10,51
2018,Frosinone,5,29
2018,Chievo,2,25
2019,Juventus,26,76
2019,Inter,24,81
2019,Lazio,24,79
2019,Atalanta,23,98
2019,Roma,21,77
2019,AC Milan,19,63
2019,Napoli,18,61
2019,Sassuolo,14,69
2019,Verona,12,47
2019,Fiorentina,11,48
2019,Bologna,12,51
2019,Parma Calcio 1913,13,52
2019,Cagliari,11,52
2019,Sampdoria,12,48
2019,Udinese,11,36
2019,Torino,11,45
2019,Genoa,9,44
2019,Lecce,9,49
2019,Brescia,6,35
2019,SPAL 2013,5,26
2014,Paris Saint Germain,24,83
2014,Lyon,22,72
2014,Monaco,20,51
2014,Marseille,21,76
2014,Saint-Etienne,19,51
2014,Bordeaux,17,47
2014,Lille,16,43
2014,Montpellier,16,46
2014,Rennes,13,35
2014,Guingamp,15,41
2014,Nice,13,44
2014,SC Bastia,12,37
2014,Caen,12,54
2014,Nantes,11,29
2014,Reims,12,47
2014,Lorient,12,44
2014,Toulouse,12,43
2014,Evian Thonon Gaillard,11,41
2014,Metz,7,31
2014,Lens,7,32
2015,Paris Saint Germain,30,102
2015,Lyon,19,67
2015,Monaco,17,57
2015,Nice,18,58
2015,Lille,15,39
2015,Saint-Etienne,17,42
2015,Caen,16,39
2015,Rennes,13,52
2015,Angers,13,40
2015,Bordeaux,12,50
2015,SC Bastia,14,36
2015,Montpellier,14,49
2015,Nantes,12,33
2015,Marseille,10,48
2015,Lorient,11,47
2015,Guingamp,11,47
2015,Toulouse,9,45
2015,Reims,10,44
2015,GFC Ajaccio,8,37
2015,Troyes,3,28
2016,Monaco,30,107
2016,Paris Saint Germain,27,83
2016,Nice,22,63
2016,Lyon,21,80
2016,Marseille,17,57
2016,Bordeaux,15,53
2016,Nantes,14,40
2016,Rennes,12,36
2016,Saint-Etienne,12,41
2016,Guingamp,14,46
2016,Lille,13,40
2016,Angers,13,40
2016,Toulouse,10,37
2016,Metz,11,39
2016,Montpellier,10,48
2016,Caen,10,36
2016,Dijon,8,46
2016,Lorient,10,44
2016,Nancy,9,29
2016,SC Bastia,8,29
2017,Paris Saint Germain,29,108
2017,Monaco,24,85
2017,Lyon,23,87
2017,Marseille,22,80
2017,Rennes,16,50
2017,Bordeaux,16,53
2017,Saint-Etienne,15,47
2017,Nice,15,53
2017,Nantes,14,36
2017,Montpellier,11,36
2017,Dijon,13,55
2017,Guingamp,12,48
2017,Amiens,12,37
2017,Angers,9,42
2017,Lille,10,41
2017,Caen,10,27
2017,Strasbourg,9,44
2017,Toulouse,9,38
2017,Troyes,9,32
2017,Metz,6,34
2018,Paris Saint Germain,29,105
2018,Lille,22,68
2018,Lyon,21,70
2018,Saint-Etienne,19,59
2018,Marseille,18,60
2018,Montpellier,15,53
2018,Nice,15,30
2018,Reims,13,39
2018,Nimes,15,57
2018,Rennes,13,55
2018,Strasbourg,11,58
2018,Nantes,13,48
2018,Angers,10,44
2018,Bordeaux,10,34
2018,Toulouse,8,35
2018,Amiens,9,31
2018,Monaco,8,38
2018,Dijon,9,31
2018,Caen,7,29
2018,Guingamp,5,28
2019,Paris Saint Germain,22,75
2019,Marseille,16,41
2019,Rennes,15,38
2019,Lille,15,35
2019,Nice,11,41
2019,Reims,10,26
2019,Montpellier,11,35
2019,Monaco,11,44
2019,Lyon,11,42
2019,Angers,11,28
2019,Strasbourg,11,32
2019,Nantes,11,28
2019,Bordeaux,9,40
2019,Metz,8,27
2019,Brest,8,34
2019,Dijon,7,27
2019,Saint-Etienne,8,29
2019,Nimes,7,29
2019,Amiens,4,31
2019,Toulouse,3,22
2014,Zenit St. Petersburg,20,58
2014,CSKA Moscow,19,67
2014,FC Krasnodar,17,52
2014,Dinamo Moscow,14,53
2014,Rubin Kazan,13,39
2014,Spartak Moscow,12,42
2014,Lokomotiv Moscow,11,31
2014,Mordovya,11,22
2014,FK Akhmat,10,30
2014,Kuban Krasnodar,8,32
2014,Amkar,8,25
2014,FC Ufa,7,26
2014,Ural,9,31
2014,FC Rostov,7,27
2014,Torpedo Moscow,6,28
2014,Arsenal Tula,7,20
2015,CSKA Moscow,20,51
2015,FC Rostov,19,41
2015,Zenit St. Petersburg,17,61
2015,FC Krasnodar,16,54
2015,Spartak Moscow,15,48
2015,Lokomotiv Moscow,14,43
2015,FK Akhmat,11,35
2015,Ural,10,39
2015,Krylya Sovetov Samara,9,19
2015,Rubin Kazan,9,33
2015,Amkar,7,22
2015,FC Ufa,6,25
2015,Anzhi Makhachkala,6,28
2015,Kuban Krasnodar,5,34
2015,Dinamo Moscow,5,25
2015,Mordovya,4,30
2016,Spartak Moscow,22,46
2016,CSKA Moscow,18,47
2016,Zenit St. Petersburg,18,50
2016,FC Krasnodar,12,40
2016,FC Rostov,13,36
2016,FK Akhmat,14,38
2016,FC Ufa,12,22
2016,Lokomotiv Moscow,10,39
2016,Rubin Kazan,10,30
2016,Amkar,8,25
2016,Anzhi Makhachkala,7,24
2016,Ural,8,24
2016,FC Orenburg,7,25
2016,Krylya Sovetov Samara,6,31
2016,Arsenal Tula,7,18
2016,Tom Tomsk,3,17
2017,Lokomotiv Moscow,18,41
